Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Dendritic cells resting	Dendritic cells activated
ORC1	23.68477152	41.00915539	48.78745757	40.53053139	49.69010165	571.8507896	149.8210195	27.67048227	17.56601887	28.16743979	199.5193663	42.26892867	43.52073776	20.24691855
OSM	2.05303015	2.708641993	3.823397028	2.307902038	4.818030863	45.01752131	12.94364358	142.6507045	20.55380014	2.264192614	172.7170749	4.071675747	10.91034349	3.537000212
P2RX1	161.7246112	37.90926885	180.7978777	168.4091537	119.891114	110.7662487	142.8858929	70.45015588	184.552453	133.7653785	137.761379	686.8592062	162.158759	57.63014286
P2RX5	9725.14216	9116.674392	784.9884834	670.8311858	770.0178375	524.8550881	2876.602126	725.3438736	1108.125761	507.7460936	492.8199974	175.5409499	37.21278271	35.5352843
P2RY10	436.5800269	348.9025998	319.1050423	340.8834245	516.3687437	293.2102273	313.2896621	931.7085834	107.4410957	236.9914349	207.4981375	20.95780349	5.340759621	142.7074755
P2RY13	9.195676707	35.59674022	7.470609935	7.357242825	6.469992914	7.274663001	6.982740503	10.2025435	233.2139703	76.92819841	13.81492461	2786.279688	25.78957652	8.194297426
P2RY14	1638.857158	196.0477382	154.8611784	63.19960659	75.4038863	76.77594259	33.74435445	102.9533339	512.624542	214.6448472	215.2283477	51.7107481	214.7529288	24.7275648
P2RY2	11.65755142	13.6018949	14.97257129	11.66918119	11.41545947	13.35591205	20.63255455	10.1169561	12.42139783	14.83438983	11.91498962	172.1808803	10.69402254	14.59353766
PADI4	10.86384541	14.72490782	54.8131472	22.06014827	15.94453415	24.61338222	19.92287086	9.858987446	140.6718371	117.7115047	26.4439513	765.8740271	21.13767299	36.58022188
PAQR5	23.55278029	20.52510491	14.17914437	25.79852882	15.95742958	14.88173325	13.05907552	36.93744762	28.61895	16.92537277	12.69616964	14.23047428	19.08196331	15.76945271
PASK	513.8685117	628.0406815	1441.389436	1036.993881	2312.349458	982.6694359	7489.424599	1422.863691	232.6670491	194.6949707	256.2684015	146.7089795	159.7552188	188.6396292
PAX7	67.60022415	81.26725901	23.31147251	25.73025482	42.55469556	34.32244633	37.98662268	107.1993296	47.57678524	13.99767158	21.90774996	38.03678229	32.20861554	32.68914412
PBXIP1	399.906182	918.0224791	1520.324793	1070.73357	3186.537019	192.0869901	1612.60149	3045.590782	570.9583968	527.8700969	195.0766104	253.4748335	290.7321071	562.838958
PCDHA5	5.122171371	7.929425728	15.43591938	25.92410763	33.86467066	7.73695061	11.02174746	107.6797892	43.8130913	10.21122017	11.39071505	10.28963858	13.64170835	6.045929382
PDCD1	103.8732743	124.685259	153.8622347	130.6987203	149.0261337	234.7672258	2598.761593	263.9482706	208.0893621	128.5338061	122.4494002	153.2622842	111.798525	122.1858671
PDCD1LG2	17.24705732	11.81520376	12.8049967	15.10593558	11.03474465	14.41666747	8.147551977	75.96003159	15.66812358	22.01108215	12.92033658	14.01790012	116.3739956	813.7897771
PDE6C	0.972464723	3.751282949	1.934003663	21.41944377	6.212037366	1.658857567	6.606824787	1.646250183	6.317187616	14.89875645	2.387820415	4.556478651	1.993538338	10.57243953
PDK1	32.80967907	24.86674344	231.2949243	518.4525497	121.1522918	170.8986502	117.2961766	486.7488725	23.37025579	32.92518869	37.96319899	25.63097887	96.83583568	22.47364617
PGLYRP1	18.90822468	23.3446173	9.957040446	9.789026033	15.62904812	16.08395924	19.77039029	12.62509239	16.07793448	99.27421716	30.4274162	13.97992365	11.05128893	16.05671329
PIK3IP1	2462.087898	1132.15121	5245.606657	5090.528151	4353.539533	461.309405	2315.263539	4814.01712	1330.849657	1203.06945	322.6103849	647.7544918	295.0789727	259.7420759
PKD2L2	9.70690203	6.77668278	18.90534167	52.06339581	11.46263134	23.12217296	6.039291579	47.37634103	47.67860232	10.97872887	7.924164041	13.39656756	5.885376139	14.50853995
PLA1A	35.62073897	28.11928425	16.1139255	16.45891984	7.843078446	14.26798853	19.93877192	16.46804088	31.59116116	25.1394749	12.84867382	59.35576681	38.04099365	647.1074354
PLA2G7	100.7324553	79.06118962	24.31875779	12.76669965	36.51263796	39.26542516	37.60063067	108.8451808	178.7417662	73.09936856	50.30565877	1290.202807	5706.822398	5086.100024
PLCH2	31.91347153	14.44424591	26.92691404	169.1927281	136.8549573	42.93384847	176.0842582	981.1482044	71.66407227	152.093623	132.3765006	47.06577352	18.7750035	30.87091818
PLEKHF1	39.92144865	32.66376393	884.5112502	341.0076265	508.7385617	485.6449165	919.8846228	373.2850334	1042.95957	1513.840196	982.2000845	45.53332862	40.58425981	34.5707663
PLEKHG3	11.39071505	10.80558704	293.5247521	76.73435744	559.7419793	106.6290931	26.01377304	17.7528531	927.8029843	855.4915686	317.7910043	417.6498993	25.67875771	21.42126529
PMCH	12.39999002	10.5949733	7.056096164	12.96669349	14.81798486	138.142275	9.800664188	9232.536023	19.44909386	6.727160344	11.09025115	9.49164333	9.763369734	11.88490948
PNOC	4198.527432	4255.796399	88.67789621	64.69325183	65.69416471	83.02319643	22.1078749	82.8028802	192.0353994	65.36645851	78.13755037	230.8474814	68.46161307	98.82686845
PPBP	112.7304414	89.83852158	61.67249965	65.62156196	58.2388091	20.89581929	63.64624142	117.7291809	476.6620695	37.90535113	17.49572851	80.46672814	91.22599046	211.9393609
PPFIBP1	68.77420162	10.81398033	40.76620059	45.86348711	26.78347553	19.75629479	5.459102119	41.78961635	11.9742	21.69814253	9.753147704	24.45704984	218.6205764	76.72712856
PRF1	201.9573668	236.1351207	8182.518825	847.8104385	2130.073632	1288.368436	953.5011061	1643.00791	15440.12701	26164.60132	27164.52012	142.7487889	67.86490889	103.9210768
PRG2	98.84281244	125.3109437	126.6467707	107.0290453	139.1010495	165.4537351	35.31282708	68.52536924	16.54700608	70.81916153	82.7123624	117.086355	85.47893602	89.83062765
PRR5L	114.4648121	191.9719939	302.0175264	88.78052856	230.07536	127.9674477	56.48122719	70.06950907	758.3736527	1048.389642	1138.959696	109.1297143	12.1948795	77.23080779
PSG2	1541.92252	1234.841312	157.1462452	109.5312437	214.8615441	99.13536849	80.92660206	294.2433074	352.7444825	148.4491223	136.1349156	170.0696655	116.270557	146.2605667
