Gene symbol	avg_B cell	avg_NK cell	avg_T cell	avg_Monocyte	avg_Dendritic cell
CPA3	786.5967435	458.1363071	243.2991012	135.1465191	149.4195584
CR2	1471.268235	25.27012551	67.24739132	35.1557773	51.3593367
CREB5	30.97425375	13.03890087	7.370460489	360.9106341	257.4524083
CRISP3	27.37818895	164.0262277	7.582193721	5.032005451	5.355044803
CRTAM	54.88908823	261.1619294	114.0594238	212.0416867	153.9609051
CRYBB1	8.51087882	9.40235754	10.6390921	9.396148118	8.796010004
CSF1	22.1078749	21.72047615	32.27097928	24.56893179	93.53462038
CSF2	24.24874392	47.27814858	25.87142267	27.09459243	38.03034172
CSF3R	99.76628743	115.6437107	36.16508067	2331.948628	67.25193329
CST7	29.71165699	11514.68497	1470.064999	63.6732263	4059.440795
CTLA4	19.39158332	11.01469755	606.1036832	18.619765	12.49357301
CTSG	247.7712501	309.0786617	81.23896111	88.12615549	42.00016699
CTSW	16.65790643	6980.778276	963.2767736	16.93731154	15.8711173
CXCL10	761.3944185	201.1109308	152.9758784	500.9300164	11302.3948
CXCL11	90.26229276	28.53859717	14.33061258	38.41873667	3956.496269
CXCL13	50.1800947	10.02644064	8.95713845	10.31783604	20.93152388
CXCL3	73.07039801	17.38441257	30.02788375	175.8826199	157.0218318
CXCL5	94.16490321	25.08008077	41.21600403	32.93471403	387.4036234
CXCL9	597.5841917	186.9242102	151.5042347	265.0825127	2918.819703
CXCR1	260.5780432	515.9159844	253.8205315	82.78141165	64.12271586
CXCR2	26.76355546	963.1701029	20.88194891	408.3528365	48.42702155
CXCR5	368.7814351	16.03380756	181.8245372	14.61246054	26.90915848
CXCR6	143.966553	175.2851029	190.1248095	89.88376184	93.76432338
CXorf57	39.26542516	54.61125396	111.2439257	8.024895821	5.419912679
CYP27A1	28.17031886	36.91521067	18.92107732	761.5963848	1970.12216
CYP27B1	839.568697	95.8119075	112.6050172	96.6530619	2253.07628
DACH1	8.110268958	34.41652414	6.332890006	63.04081707	6.024269222
DAPK2	50.49233083	75.19081972	53.08765217	50.3687963	57.82502739
DCSTAMP	38.69538004	39.23336722	19.29191355	100.3959971	632.4755841
DEFA4	364.8313155	3153.504694	252.1933458	108.489886	104.1710485
DENND5B	47.963256	28.75548047	6.171513508	5.019653713	28.44840466
DEPDC5	23.00370479	74.53481103	41.85091261	40.17793365	38.1781776
DGKA	426.967722	393.4296648	2690.021108	300.9545855	236.2697561
DHRS11	53.98997768	61.62409019	27.7175438	46.95962914	299.290358
DHX58	13.86362993	126.714319	30.99587635	66.42778065	1538.10279
DPEP2	695.4566346	636.0698166	631.2800075	1471.477094	37.70324907
DPP4	19.45168576	43.07303297	1042.227242	19.65506451	138.2117037
DSC1	82.26251271	21.21931052	15.6035437	18.85006161	14.70793626
DUSP2	13.29827708	494.2129873	2005.427058	404.8953793	536.6914932
EAF2	3181.18246	198.0166857	138.142275	683.9617628	468.0738156
EBI3	10.50267123	10.01431702	11.53252065	12.4947299	6496.243408
EFNA5	5.427660306	29.85222409	24.29954135	16.87392513	35.5318796
EGR2	122.3401907	155.2354783	36.23835539	466.5929482	1121.590168
ELANE	11.04729816	734.2988939	12.43682411	28.96336488	13.01751849
EMR1	499.0111023	348.0789413	312.812165	1815.513906	237.420847
EMR2	145.9766252	174.2285945	83.26351882	1319.424101	357.6021098
EMR3	55.17004911	63.86912529	63.19960659	379.6236682	19.31544328
EPB41	21.98416943	104.9505198	385.6302551	25.10456886	73.20980687
EPHA1	47.02936831	155.7830488	292.8838925	63.80169822	58.64760753
EPN2	46.90834881	31.97660478	96.20392388	32.43586908	31.56870199
ETS1	988.8726693	759.7185652	1902.189462	85.66933558	115.7021417
ETV3	37.98662268	33.20716288	455.2117491	40.95675962	2091.702661
FAIM3	11191.41447	2548.903709	5134.615329	117.871065	49.08029322
FAM124B	21.67016354	20.02563485	20.50088961	29.15950369	11.26463001
FAM174B	117.7226808	40.33600095	104.0881916	39.85052889	40.87114944
FAM198B	9.800664188	23.76109791	8.45170015	515.249292	45.53321991
FAM212B	49.97014577	13.78507742	25.23626149	95.87273144	12.50084037
FAM65B	4719.699579	1586.716996	2808.159439	2428.861545	126.2864186
FASLG	342.8390554	1537.723722	140.8491762	108.383093	101.0667448
FBXL8	7.713639432	12.81344642	313.0593206	43.1055926	55.64683088
FCER1A	106.1351171	168.922198	129.667324	622.2119019	88.29115522
FCER2	990.3077473	12.55432737	10.14786303	12.66527557	98.25529772
FCGR2B	3389.8606	119.9451162	30.69853755	287.6388369	137.2036108
FCGR3B	434.6883898	494.7560439	133.7448215	402.4458452	125.0983352
FCN1	160.5487443	465.2336051	98.71765801	29800.42108	120.9633626
FCRL2	4384.737162	54.32604608	55.77947477	47.6563456	38.40731991
FES	8.544430362	211.838797	6.024967349	826.5409485	10.72101379
FFAR2	12.83845224	73.96615142	15.89364427	101.05938	16.51972226
FLJ13197	129.5124355	147.0679625	110.1171051	15.24807194	8.549571152
FLT3LG	26.22845437	226.7845957	1471.268235	69.27835254	62.75049101
FLVCR2	69.18049192	140.2531417	145.8719106	566.9712028	1056.886238
FOSB	200.0093028	32.22859594	59.70898915	3422.450435	45.83078441
FOXP3	135.9782583	31.98561018	190.192431	76.15295297	64.02824977
